shapeid,partid,x,y,id
"0",,125,39,"0"
"1",,125.05,39,"1"
"2",,125.1,39,"2"
"3",,125.15,39,"3"
"4",,125.2,39,"4"
"5",,125.25,39,"5"
"6",,125.3,39,"6"
"7",,125.35,39,"7"
"8",,125.4,39,"8"
"9",,125.45,39,"9"
"10",,125.5,39,"10"
"11",,125.55,39,"11"
"12",,125.6,39,"12"
"13",,125.65,39,"13"
"14",,125.7,39,"14"
"15",,125.75,39,"15"
"16",,125.8,39,"16"
"17",,125.85,39,"17"
"18",,125.9,39,"18"
"19",,125.95,39,"19"
"20",,126,39,"20"
"21",,126.05,39,"21"
"22",,126.1,39,"22"
"23",,126.15,39,"23"
"24",,126.2,39,"24"
"25",,126.25,39,"25"
"26",,126.3,39,"26"
"27",,126.35,39,"27"
"28",,126.4,39,"28"
"29",,126.45,39,"29"
"30",,126.5,39,"30"
"31",,126.55,39,"31"
"32",,126.6,39,"32"
"33",,126.65,39,"33"
"34",,126.7,39,"34"
"35",,126.75,39,"35"
"36",,126.8,39,"36"
"37",,126.85,39,"37"
"38",,126.9,39,"38"
"39",,126.95,39,"39"
"40",,127,39,"40"
"41",,127.05,39,"41"
"42",,127.1,39,"42"
"43",,127.15,39,"43"
"44",,127.2,39,"44"
"45",,127.25,39,"45"
"46",,127.3,39,"46"
"47",,127.35,39,"47"
"48",,127.4,39,"48"
"49",,127.45,39,"49"
"50",,127.5,39,"50"
"51",,127.55,39,"51"
"52",,127.6,39,"52"
"53",,127.65,39,"53"
"54",,127.7,39,"54"
"55",,127.75,39,"55"
"56",,127.8,39,"56"
"57",,127.85,39,"57"
"58",,127.9,39,"58"
"59",,127.95,39,"59"
"60",,128,39,"60"
"61",,128.05,39,"61"
"62",,128.1,39,"62"
"63",,128.15,39,"63"
"64",,128.2,39,"64"
"65",,128.25,39,"65"
"66",,128.3,39,"66"
"67",,128.35,39,"67"
"68",,128.4,39,"68"
"69",,128.45,39,"69"
"70",,128.5,39,"70"
"71",,128.55,39,"71"
"72",,128.6,39,"72"
"73",,128.65,39,"73"
"74",,128.7,39,"74"
"75",,128.75,39,"75"
"76",,128.8,39,"76"
"77",,128.85,39,"77"
"78",,128.9,39,"78"
"79",,128.95,39,"79"
"80",,129,39,"80"
"81",,129.05,39,"81"
"82",,129.1,39,"82"
"83",,129.15,39,"83"
"84",,129.2,39,"84"
"85",,129.25,39,"85"
"86",,129.3,39,"86"
"87",,129.35,39,"87"
"88",,129.4,39,"88"
"89",,129.45,39,"89"
"90",,129.5,39,"90"
"91",,129.55,39,"91"
"92",,129.6,39,"92"
"93",,129.65,39,"93"
"94",,129.7,39,"94"
"95",,129.75,39,"95"
"96",,129.8,39,"96"
"97",,129.85,39,"97"
"98",,129.9,39,"98"
"99",,129.95,39,"99"
"100",,130,39,"100"
"101",,130.05,39,"101"
"102",,130.1,39,"102"
"103",,130.15,39,"103"
"104",,130.2,39,"104"
"105",,130.25,39,"105"
"106",,130.3,39,"106"
"107",,130.35,39,"107"
"108",,130.4,39,"108"
"109",,130.45,39,"109"
"110",,130.5,39,"110"
"111",,130.55,39,"111"
"112",,130.6,39,"112"
"113",,130.65,39,"113"
"114",,130.7,39,"114"
"115",,130.75,39,"115"
"116",,130.8,39,"116"
"117",,130.85,39,"117"
"118",,130.9,39,"118"
"119",,130.950000000001,39,"119"
"120",,125,38.95,"120"
"121",,125.05,38.95,"121"
"122",,125.1,38.95,"122"
"123",,125.15,38.95,"123"
"124",,125.2,38.95,"124"
"125",,125.25,38.95,"125"
"126",,125.3,38.95,"126"
"127",,125.35,38.95,"127"
"128",,125.4,38.95,"128"
"129",,125.45,38.95,"129"
"130",,125.5,38.95,"130"
"131",,125.55,38.95,"131"
"132",,125.6,38.95,"132"
"133",,125.65,38.95,"133"
"134",,125.7,38.95,"134"
"135",,125.75,38.95,"135"
"136",,125.8,38.95,"136"
"137",,125.85,38.95,"137"
"138",,125.9,38.95,"138"
"139",,125.95,38.95,"139"
"140",,126,38.95,"140"
"141",,126.05,38.95,"141"
"142",,126.1,38.95,"142"
"143",,126.15,38.95,"143"
"144",,126.2,38.95,"144"
"145",,126.25,38.95,"145"
"146",,126.3,38.95,"146"
"147",,126.35,38.95,"147"
"148",,126.4,38.95,"148"
"149",,126.45,38.95,"149"
"150",,126.5,38.95,"150"
"151",,126.55,38.95,"151"
"152",,126.6,38.95,"152"
"153",,126.65,38.95,"153"
"154",,126.7,38.95,"154"
"155",,126.75,38.95,"155"
